year_month,no_of_rainy_days,total_rainfall,accidents_with_fatalities,accidents_with_injuries,year,month,average_rainfall,total_accidents
1982-01,10,107.1,,,1982,01,10.709999999999999,
1982-02,5,27.8,,,1982,02,5.5600000000000005,
1982-03,11,160.8,,,1982,03,14.618181818181819,
1982-04,14,157.0,,,1982,04,11.214285714285714,
1982-05,10,102.2,,,1982,05,10.22,
1982-06,8,59.5,,,1982,06,7.4375,
1982-07,8,76.3,,,1982,07,9.5375,
1982-08,11,169.5,,,1982,08,15.409090909090908,
1982-09,9,54.1,,,1982,09,6.011111111111111,
1982-10,10,39.3,,,1982,10,3.9299999999999997,
1982-11,13,134.0,,,1982,11,10.307692307692308,
1982-12,21,494.1,,,1982,12,23.52857142857143,
1983-01,18,246.0,,,1983,01,13.666666666666666,
1983-02,2,5.6,,,1983,02,2.8,
1983-03,2,18.6,,,1983,03,9.3,
1983-04,4,33.6,,,1983,04,8.4,
1983-05,11,160.8,,,1983,05,14.618181818181819,
1983-06,11,94.0,,,1983,06,8.545454545454545,
1983-07,18,190.0,,,1983,07,10.555555555555555,
1983-08,10,262.2,,,1983,08,26.22,
1983-09,18,170.8,,,1983,09,9.488888888888889,
1983-10,17,212.7,,,1983,10,12.511764705882353,
1983-11,18,228.8,,,1983,11,12.711111111111112,
1983-12,16,370.6,,,1983,12,23.1625,
1984-01,18,251.2,,,1984,01,13.955555555555556,
1984-02,19,470.4,,,1984,02,24.757894736842104,
1984-03,19,361.3,,,1984,03,19.01578947368421,
1984-04,17,153.1,,,1984,04,9.005882352941176,
1984-05,12,186.5,,,1984,05,15.541666666666666,
1984-06,14,255.0,,,1984,06,18.214285714285715,
1984-07,12,127.2,,,1984,07,10.6,
1984-08,13,102.7,,,1984,08,7.9,
1984-09,17,186.7,,,1984,09,10.98235294117647,
1984-10,11,187.5,,,1984,10,17.045454545454547,
1984-11,17,127.7,,,1984,11,7.511764705882353,
1984-12,22,277.4,,,1984,12,12.609090909090908,
1985-01,7,111.1,,,1985,01,15.87142857142857,
1985-02,11,79.3,,,1985,02,7.209090909090909,
1985-03,13,88.0,,,1985,03,6.769230769230769,
1985-04,14,110.5,,,1985,04,7.892857142857143,
1985-05,12,70.1,,,1985,05,5.841666666666666,
1985-06,14,37.0,,,1985,06,2.642857142857143,
1985-07,17,131.8,,,1985,07,7.752941176470589,
1985-08,11,56.9,,,1985,08,5.172727272727273,
1985-09,18,110.7,,,1985,09,6.15,
1985-10,21,169.0,,,1985,10,8.047619047619047,
1985-11,21,179.4,,,1985,11,8.542857142857143,
1985-12,22,340.1,,,1985,12,15.45909090909091,
1986-01,13,308.2,,,1986,01,23.707692307692305,
1986-02,2,26.7,,,1986,02,13.35,
1986-03,17,353.4,,,1986,03,20.788235294117644,
1986-04,14,150.0,,,1986,04,10.714285714285714,
1986-05,13,145.1,,,1986,05,11.161538461538461,
1986-06,13,122.9,,,1986,06,9.453846153846154,
1986-07,12,109.7,,,1986,07,9.141666666666667,
1986-08,11,72.9,,,1986,08,6.627272727272728,
1986-09,22,396.0,,,1986,09,18.0,
1986-10,20,227.3,,,1986,10,11.365,
1986-11,21,256.7,,,1986,11,12.223809523809523,
1986-12,16,367.2,,,1986,12,22.95,
1987-01,16,568.6,,,1987,01,35.5375,
1987-02,7,86.9,,,1987,02,12.414285714285715,
1987-03,12,132.5,,,1987,03,11.041666666666666,
1987-04,10,72.5,,,1987,04,7.25,
1987-05,16,270.0,,,1987,05,16.875,
1987-06,15,126.6,,,1987,06,8.44,
1987-07,11,80.9,,,1987,07,7.354545454545455,
1987-08,16,191.9,,,1987,08,11.99375,
1987-09,11,129.9,,,1987,09,11.80909090909091,
1987-10,9,22.6,,,1987,10,2.511111111111111,
1987-11,17,347.6,,,1987,11,20.447058823529414,
1987-12,11,72.8,,,1987,12,6.618181818181818,
1988-01,15,237.5,,,1988,01,15.833333333333334,
1988-02,9,158.1,,,1988,02,17.566666666666666,
1988-03,15,186.8,,,1988,03,12.453333333333335,
1988-04,13,109.6,,,1988,04,8.430769230769231,
1988-05,14,229.6,,,1988,05,16.4,
1988-06,13,252.2,,,1988,06,19.4,
1988-07,15,305.4,,,1988,07,20.36,
1988-08,14,80.1,,,1988,08,5.721428571428571,
1988-09,14,440.4,,,1988,09,31.457142857142856,
1988-10,17,134.6,,,1988,10,7.917647058823529,
1988-11,23,401.4,,,1988,11,17.452173913043477,
1988-12,11,62.9,,,1988,12,5.718181818181818,
1989-01,10,189.7,,,1989,01,18.97,
1989-02,3,52.4,,,1989,02,17.466666666666665,
1989-03,21,305.9,,,1989,03,14.566666666666666,
1989-04,17,198.6,,,1989,04,11.68235294117647,
1989-05,12,194.0,,,1989,05,16.166666666666668,
1989-06,12,117.6,,,1989,06,9.799999999999999,
1989-07,12,157.6,,,1989,07,13.133333333333333,
1989-08,18,201.0,,,1989,08,11.166666666666666,
1989-09,14,247.3,,,1989,09,17.664285714285715,
1989-10,16,111.0,,,1989,10,6.9375,
1989-11,20,508.4,,,1989,11,25.419999999999998,
1989-12,18,179.7,,,1989,12,9.983333333333333,
1990-01,13,147.4,,,1990,01,11.338461538461539,
1990-02,8,24.1,,,1990,02,3.0125,
1990-03,4,94.2,,,1990,03,23.55,
1990-04,10,52.4,,,1990,04,5.24,
1990-05,11,180.1,,,1990,05,16.37272727272727,
1990-06,9,112.6,,,1990,06,12.511111111111111,
1990-07,12,124.0,,,1990,07,10.333333333333334,
1990-08,13,146.6,,,1990,08,11.276923076923076,
1990-09,17,204.5,,,1990,09,12.029411764705882,
1990-10,12,56.4,,,1990,10,4.7,
1990-11,17,180.4,,,1990,11,10.611764705882353,
1990-12,16,201.1,,,1990,12,12.56875,
1991-01,13,123.9,,,1991,01,9.53076923076923,
1991-02,7,45.5,,,1991,02,6.5,
1991-03,10,92.4,,,1991,03,9.24,
1991-04,13,134.2,,,1991,04,10.323076923076922,
1991-05,23,256.4,,,1991,05,11.14782608695652,
1991-06,9,88.7,,,1991,06,9.855555555555556,
1991-07,8,37.3,,,1991,07,4.6625,
1991-08,8,226.2,,,1991,08,28.275,
1991-09,12,123.1,,,1991,09,10.258333333333333,
1991-10,5,52.0,,,1991,10,10.4,
1991-11,19,205.0,,,1991,11,10.789473684210526,
1991-12,19,492.3,,,1991,12,25.910526315789475,
1992-01,9,83.9,,,1992,01,9.322222222222223,
1992-02,4,62.4,,,1992,02,15.6,
1992-03,6,67.6,,,1992,03,11.266666666666666,
1992-04,13,160.3,,,1992,04,12.330769230769231,
1992-05,13,63.1,,,1992,05,4.853846153846154,
1992-06,14,162.8,,,1992,06,11.62857142857143,
1992-07,19,290.8,,,1992,07,15.305263157894737,
1992-08,11,76.1,,,1992,08,6.918181818181818,
1992-09,13,83.6,,,1992,09,6.43076923076923,
1992-10,20,233.2,,,1992,10,11.66,
1992-11,18,474.3,,,1992,11,26.35,
1992-12,23,502.7,,,1992,12,21.856521739130436,
1993-01,11,176.4,,,1993,01,16.036363636363635,
1993-02,8,69.2,,,1993,02,8.65,
1993-03,14,250.5,,,1993,03,17.892857142857142,
1993-04,20,283.9,,,1993,04,14.194999999999999,
1993-05,10,129.9,,,1993,05,12.99,
1993-06,17,115.5,,,1993,06,6.794117647058823,
1993-07,15,240.0,,,1993,07,16.0,
1993-08,11,106.8,,,1993,08,9.709090909090909,
1993-09,7,61.7,,,1993,09,8.814285714285715,
1993-10,13,175.5,,,1993,10,13.5,
1993-11,18,250.8,,,1993,11,13.933333333333334,
1993-12,19,308.5,,,1993,12,16.236842105263158,
1994-01,7,56.9,,,1994,01,8.128571428571428,
1994-02,15,133.5,,,1994,02,8.9,
1994-03,19,288.2,,,1994,03,15.168421052631578,
1994-04,15,154.0,,,1994,04,10.266666666666667,
1994-05,16,169.6,,,1994,05,10.6,
1994-06,14,184.7,,,1994,06,13.192857142857141,
1994-07,6,53.8,,,1994,07,8.966666666666667,
1994-08,12,45.1,,,1994,08,3.7583333333333333,
1994-09,6,23.7,,,1994,09,3.9499999999999997,
1994-10,11,84.7,,,1994,10,7.7,
1994-11,21,322.2,,,1994,11,15.342857142857142,
1994-12,18,425.4,,,1994,12,23.633333333333333,
1995-01,21,349.4,,,1995,01,16.638095238095236,
1995-02,16,334.0,,,1995,02,20.875,
1995-03,10,67.7,,,1995,03,6.7700000000000005,
1995-04,16,242.3,,,1995,04,15.14375,
1995-05,11,84.4,,,1995,05,7.672727272727273,
1995-06,12,63.7,,,1995,06,5.308333333333334,
1995-07,13,173.6,,,1995,07,13.353846153846153,
1995-08,21,211.6,,,1995,08,10.076190476190476,
1995-09,7,29.5,,,1995,09,4.214285714285714,
1995-10,12,101.1,,,1995,10,8.424999999999999,
1995-11,20,372.8,,,1995,11,18.64,
1995-12,20,302.5,,,1995,12,15.125,
1996-01,10,173.2,,,1996,01,17.32,
1996-02,11,180.2,,,1996,02,16.38181818181818,
1996-03,8,129.7,,,1996,03,16.2125,
1996-04,15,178.2,,,1996,04,11.879999999999999,
1996-05,15,107.5,,,1996,05,7.166666666666667,
1996-06,15,265.8,,,1996,06,17.720000000000002,
1996-07,10,162.3,,,1996,07,16.23,
1996-08,18,258.4,,,1996,08,14.355555555555554,
1996-09,18,297.0,,,1996,09,16.5,
1996-10,19,300.0,,,1996,10,15.789473684210526,
1996-11,16,180.2,,,1996,11,11.2625,
1996-12,15,185.5,,,1996,12,12.366666666666667,
1997-01,3,15.4,,,1997,01,5.133333333333334,
1997-02,8,105.4,,,1997,02,13.175,
1997-03,10,34.3,,,1997,03,3.4299999999999997,
1997-04,12,118.4,,,1997,04,9.866666666666667,
1997-05,6,41.6,,,1997,05,6.933333333333334,
1997-06,12,78.9,,,1997,06,6.575,
1997-07,9,18.6,,,1997,07,2.066666666666667,
1997-08,9,86.6,,,1997,08,9.622222222222222,
1997-09,3,31.1,,,1997,09,10.366666666666667,
1997-10,8,78.4,,,1997,10,9.8,
1997-11,13,158.3,,,1997,11,12.176923076923078,
1997-12,23,351.9,,,1997,12,15.299999999999999,
1998-01,13,268.8,,,1998,01,20.676923076923078,
1998-02,5,32.5,,,1998,02,6.5,
1998-03,7,58.8,,,1998,03,8.4,
1998-04,13,187.7,,,1998,04,14.438461538461537,
1998-05,18,370.8,,,1998,05,20.6,
1998-06,15,198.8,,,1998,06,13.253333333333334,
1998-07,18,259.2,,,1998,07,14.399999999999999,
1998-08,18,195.0,,,1998,08,10.833333333333334,
1998-09,17,258.2,,,1998,09,15.188235294117646,
1998-10,20,222.7,,,1998,10,11.135,
1998-11,11,107.2,,,1998,11,9.745454545454546,
1998-12,22,463.4,,,1998,12,21.063636363636363,
1999-01,19,193.9,,,1999,01,10.205263157894738,
1999-02,9,67.4,,,1999,02,7.48888888888889,
1999-03,16,181.4,,,1999,03,11.3375,
1999-04,14,88.5,,,1999,04,6.321428571428571,
1999-05,13,157.1,,,1999,05,12.084615384615384,
1999-06,13,103.4,,,1999,06,7.953846153846154,
1999-07,11,225.4,,,1999,07,20.490909090909092,
1999-08,13,204.0,,,1999,08,15.692307692307692,
1999-09,13,125.9,,,1999,09,9.684615384615386,
1999-10,20,205.0,,,1999,10,10.25,
1999-11,19,241.5,,,1999,11,12.710526315789474,
1999-12,17,340.5,,,1999,12,20.029411764705884,
2000-01,14,275.2,,,2000,01,19.657142857142855,
2000-02,18,237.8,,,2000,02,13.211111111111112,
2000-03,15,238.3,,,2000,03,15.886666666666667,
2000-04,20,311.6,,,2000,04,15.580000000000002,
2000-05,10,96.8,,,2000,05,9.68,
2000-06,16,157.5,,,2000,06,9.84375,
2000-07,12,116.1,,,2000,07,9.674999999999999,
2000-08,18,113.5,,,2000,08,6.305555555555555,
2000-09,12,81.1,,,2000,09,6.758333333333333,
2000-10,14,120.9,,,2000,10,8.635714285714286,
2000-11,21,385.7,,,2000,11,18.366666666666667,
2000-12,18,236.0,,,2000,12,13.11111111111111,
2001-01,21,425.8,,,2001,01,20.276190476190475,
2001-02,11,86.6,,,2001,02,7.872727272727272,
2001-03,20,297.3,,,2001,03,14.865,
2001-04,18,203.3,,,2001,04,11.294444444444444,
2001-05,12,164.9,,,2001,05,13.741666666666667,
2001-06,11,137.1,,,2001,06,12.463636363636363,
2001-07,9,111.3,,,2001,07,12.366666666666667,
2001-08,14,158.3,,,2001,08,11.307142857142859,
2001-09,13,162.0,,,2001,09,12.461538461538462,
2001-10,20,252.2,,,2001,10,12.61,
2001-11,15,175.3,,,2001,11,11.686666666666667,
2001-12,20,609.0,,,2001,12,30.45,
2002-01,11,221.2,,,2002,01,20.10909090909091,
2002-02,2,50.8,,,2002,02,25.4,
2002-03,8,55.6,,,2002,03,6.95,
2002-04,13,116.5,,,2002,04,8.961538461538462,
2002-05,13,236.6,,,2002,05,18.2,
2002-06,12,83.1,,,2002,06,6.925,
2002-07,11,233.7,,,2002,07,21.245454545454546,
2002-08,14,54.2,,,2002,08,3.8714285714285714,
2002-09,9,124.2,,,2002,09,13.8,
2002-10,7,10.8,,,2002,10,1.542857142857143,
2002-11,15,307.2,,,2002,11,20.48,
2002-12,24,255.0,,,2002,12,10.625,
2003-01,20,444.2,,,2003,01,22.21,
2003-02,13,172.9,,,2003,02,13.3,
2003-03,11,154.6,,,2003,03,14.054545454545455,
2003-04,20,159.9,,,2003,04,7.995,
2003-05,11,81.8,,,2003,05,7.4363636363636365,
2003-06,12,50.3,,,2003,06,4.191666666666666,
2003-07,14,170.4,,,2003,07,12.171428571428573,
2003-08,13,193.6,,,2003,08,14.892307692307693,
2003-09,15,205.3,,,2003,09,13.686666666666667,
2003-10,21,351.4,,,2003,10,16.73333333333333,
2003-11,19,133.8,,,2003,11,7.042105263157896,
2003-12,17,273.0,,,2003,12,16.058823529411764,
2004-01,13,600.9,,,2004,01,46.223076923076924,
2004-02,4,31.9,,,2004,02,7.975,
2004-03,16,269.4,,,2004,03,16.8375,
2004-04,9,57.1,,,2004,04,6.344444444444445,
